shipment_id,carrier,origin_port,destination_port,transport_mode,status,goods_category,currency,created_date,eta_date,transit_hours,distance_km,weight_kg,volume_m3,value_usd,freight_cost_usd,num_containers,num_stops,delay_hours,risk_score,weather_severity,port_congestion,temperature_c,priority_level,insurance_required
SHP-103220750,Yang_Ming,Melbourne,Genoa,sea,In_Transit,Raw_Materials,GBP,2024-12-25,2025-01-13,471.6,5621.7,731.1,2.24,15393.35,85.61,2,0,0.0,0.0926,0.0222,0.4439,,1,False
SHP-103448198,Hapag-Lloyd,Shanghai,Genoa,sea,Delayed,Machinery,SGD,2023-08-11,2023-08-18,186.5,6622.7,1825.3,5.58,849789.83,62054.34,19,2,2.9,0.2595,0.0722,0.2304,,3,False
SHP-101049035,DB_Schenker,Colombo,Savannah,rail,On_Schedule,Pharmaceuticals,SGD,2022-04-16,2022-04-24,203.7,4628.8,2316.5,3.61,90819.0,6848.79,4,2,0.0,0.2286,0.4774,0.3624,,2,True
SHP-104683229,DHL,Antwerp,Singapore,sea,On_Schedule,Food_Beverage,AED,2022-05-07,2022-05-29,541.2,17729.5,13002.0,19.58,3069853.27,76490.39,13,4,0.0,0.319,0.2815,0.3818,,3,True
SHP-103134664,Hapag-Lloyd,Shanghai,Baltimore,sea,At_Port,Consumer_Goods,GBP,2024-09-28,2024-10-03,135.6,21931.7,3420.9,5.37,1398887.22,109529.41,21,1,0.0,0.4074,0.298,0.2488,16.2,2,True
SHP-102262299,Hapag-Lloyd,Sydney,Le_Havre,air,At_Port,Electronics,AED,2023-07-01,2023-07-03,64.2,7757.0,325.9,0.43,411099.42,31397.12,6,0,0.0,0.2635,0.0995,0.3538,,1,True
SHP-103084681,Hapag-Lloyd,Mumbai,Piraeus,rail,On_Schedule,Textiles,AED,2024-03-03,2024-03-07,110.3,2282.4,7425.8,25.16,106424.52,1667.3,12,1,0.0,0.5122,0.1913,0.3722,,1,True
SHP-102936779,Hapag-Lloyd,Mumbai,Houston,sea,In_Transit,Food_Beverage,USD,2022-10-08,2022-11-01,591.2,12857.4,12421.0,15.9,1198145.33,9867.05,10,3,0.0,0.1271,0.3586,0.3786,,4,False
SHP-102023634,ONE,Chennai,Singapore,sea,On_Schedule,Machinery,EUR,2024-08-11,2024-08-27,398.7,18810.1,60444.0,76.78,31841.57,932.41,22,0,0.0,0.0963,0.319,0.3604,,1,False
SHP-102816497,Maersk,Busan,Valencia,rail,In_Transit,Food_Beverage,USD,2023-02-19,2023-02-27,204.7,1495.6,1370.6,3.22,340262.74,5358.08,11,1,0.0,0.0505,0.4311,0.3397,6.7,1,True
SHP-100644865,CMA_CGM,Shanghai,Piraeus,air,Delayed,Perishables,CNY,2024-07-06,2024-07-07,26.8,5102.8,13739.1,55.0,115668.08,3217.08,23,0,36.7,0.4076,0.1507,0.134,-0.6,4,True
SHP-104460780,ONE,Rotterdam,Rotterdam,sea,On_Schedule,Perishables,CNY,2022-08-26,2022-09-19,596.9,16348.9,8575.6,17.67,26945.2,774.66,20,0,0.0,0.3386,0.2762,0.4645,,2,True
SHP-102860156,Hapag-Lloyd,Shanghai,Savannah,air,At_Port,Perishables,SGD,2022-06-19,2022-06-20,44.0,2296.0,715.4,1.54,159225.02,4934.02,17,1,0.0,0.2014,0.1583,0.0688,,4,True
SHP-103225331,DB_Schenker,Guangzhou,Savannah,sea,On_Schedule,Machinery,CNY,2024-07-14,2024-07-30,402.2,2492.9,91949.6,157.15,63840.47,757.2,1,0,0.0,0.5216,0.1604,0.2571,,2,True
SHP-102020819,ONE,Sydney,Le_Havre,air,In_Transit,Automotive,AED,2024-10-16,2024-10-16,12.3,9206.3,2542.5,4.28,6341.99,210.68,10,4,0.0,0.2234,0.0442,0.5046,,4,False
SHP-103778470,COSCO,Shanghai,Savannah,sea,On_Schedule,Machinery,GBP,2022-04-02,2022-04-18,385.1,14140.2,4326.3,12.62,1368492.23,97833.71,12,4,0.0,0.3434,0.2154,0.3117,23.2,3,True
SHP-103193955,MSC,Shanghai,Los_Angeles,sea,Delivered,Textiles,SGD,2022-07-07,2022-07-17,251.7,16932.2,240.2,0.34,10445.34,356.81,12,4,6.7,0.4882,0.2703,0.1913,,4,False
SHP-101818063,CMA_CGM,Dubai,Valencia,sea,Customs_Hold,Automotive,AED,2024-09-30,2024-10-11,282.1,15516.7,16847.4,27.56,84223.6,6520.36,24,0,0.0,0.3455,0.5351,0.091,,1,True
SHP-100027624,ZIM,Hamburg,Valencia,sea,On_Schedule,Food_Beverage,AED,2022-09-16,2022-10-05,473.7,19233.4,893.2,1.34,1077333.03,39635.08,15,3,0.0,0.2884,0.4668,0.326,17.7,1,True
SHP-101993155,HMM,Mundra,Bremen,sea,On_Schedule,Raw_Materials,SGD,2023-08-01,2023-08-25,577.6,9656.8,2480.9,3.65,894066.61,25828.56,16,0,0.0,0.4464,0.0331,0.169,,1,False
SHP-102274415,ZIM,Sydney,Sydney,air,In_Transit,Textiles,USD,2023-05-10,2023-05-11,44.7,12459.3,1727.8,3.27,2130.84,43.52,23,4,0.0,0.0271,0.1599,0.467,,3,False
SHP-100443764,CMA_CGM,Shanghai,Piraeus,sea,Customs_Hold,Textiles,GBP,2023-11-12,2023-12-08,646.9,18824.1,1130.4,1.92,49936.05,498.9,10,3,0.0,0.0211,0.3039,0.144,,4,True
SHP-103314705,ONE,Rotterdam,Barcelona,air,In_Transit,Textiles,USD,2023-12-23,2023-12-23,20.4,6575.6,40930.8,119.94,2448511.84,38744.7,20,5,0.0,0.3993,0.2245,0.3286,,2,True
SHP-104619065,CMA_CGM,Port_Klang,Dubai,sea,Delayed,Perishables,CNY,2022-11-27,2022-12-20,554.6,9494.5,18600.0,60.15,60132.95,555.13,10,3,10.5,0.3407,0.138,0.4462,,1,True
SHP-104861917,CMA_CGM,Mundra,Baltimore,sea,On_Schedule,Pharmaceuticals,GBP,2024-02-14,2024-03-03,447.4,20553.5,4001.2,9.22,364582.16,26437.79,2,2,0.0,0.5115,0.0824,0.1734,12.7,4,False
SHP-100927177,Evergreen,Mundra,Savannah,sea,In_Transit,Chemicals,EUR,2022-03-23,2022-04-07,368.7,7427.0,35437.3,61.18,14447.98,163.24,19,0,0.0,0.5589,0.1092,0.1572,-14.2,4,False
SHP-103899996,MSC,Melbourne,Los_Angeles,air,Delayed,Chemicals,GBP,2023-06-25,2023-06-27,65.0,9846.7,1351.8,2.39,198084.35,2751.45,1,0,1.8,0.0796,0.0175,0.07,,2,False
SHP-102635653,Yang_Ming,Port_Klang,Los_Angeles,air,At_Port,Electronics,SGD,2022-03-26,2022-03-28,58.8,9467.0,43.6,0.06,687.36,26.59,9,5,0.0,0.2009,0.0836,0.1888,19.2,2,False
SHP-103087729,UPS,Singapore,Hamburg,air,At_Port,Chemicals,SGD,2024-03-11,2024-03-13,64.4,14466.7,72815.9,134.36,217491.75,6031.27,22,4,0.0,0.3477,0.169,0.4953,8.6,4,False
SHP-104168063,Maersk,Port_Klang,Savannah,sea,Delayed,Pharmaceuticals,CNY,2022-11-29,2022-12-26,660.5,7150.9,16894.2,32.93,241391.42,2980.31,18,2,8.4,0.3088,0.2517,0.4701,,2,False
SHP-101455762,CMA_CGM,Mumbai,Barcelona,sea,In_Transit,Machinery,AED,2022-08-24,2022-09-13,484.6,4244.6,2440.0,9.85,2080683.91,27842.16,8,3,0.0,0.4127,0.2119,0.4922,-17.6,1,True
SHP-103505719,UPS,Busan,Barcelona,road,Delayed,Consumer_Goods,CNY,2023-05-06,2023-05-08,59.5,1704.5,4406.9,9.3,11064.11,178.82,4,5,13.4,0.3011,0.0505,0.2056,,4,True
SHP-100781115,CMA_CGM,Sydney,Baltimore,air,On_Schedule,Pharmaceuticals,AED,2023-05-12,2023-05-14,66.8,6065.0,1878.5,2.38,266809.72,12519.72,4,5,0.0,0.0845,0.0131,0.3808,,3,True
SHP-101304420,DB_Schenker,Jebel_Ali,Los_Angeles,sea,Critical_Delay,Chemicals,SGD,2022-02-27,2022-03-19,499.8,21492.9,4529.4,6.54,277990.76,15226.32,11,2,29.8,0.137,0.2481,0.023,,3,True
SHP-101255212,DHL,Shanghai,Hamburg,air,Delayed,Electronics,EUR,2022-06-07,2022-06-08,33.4,2610.0,244.2,0.36,118260.41,7414.79,17,1,18.2,0.2361,0.1397,0.1764,,4,True
SHP-100984298,Yang_Ming,Antwerp,Rotterdam,sea,On_Schedule,Raw_Materials,AED,2023-05-26,2023-06-10,360.2,3113.9,21987.8,29.07,592080.52,31114.32,12,3,0.0,0.0896,0.2607,0.654,,4,True
SHP-100132066,FedEx,Chennai,Valencia,road,At_Port,Perishables,SGD,2023-12-04,2023-12-10,165.6,3088.0,2238.7,3.12,60867.08,3037.42,6,1,0.0,0.4202,0.0277,0.5461,,2,True
SHP-101132735,UPS,Ningbo,Singapore,rail,On_Schedule,Machinery,EUR,2022-07-04,2022-07-06,48.7,2354.2,10807.4,18.79,971838.68,41205.06,17,4,0.0,0.1218,0.1545,0.2538,-12.1,2,True
SHP-102809187,Maersk,Rotterdam,Miami,rail,Critical_Delay,Chemicals,GBP,2022-02-12,2022-02-20,192.2,3050.1,2355.2,3.56,8588.77,598.81,18,2,7.8,0.1655,0.1143,0.3143,,1,True
SHP-102162146,DB_Schenker,Singapore,Felixstowe,sea,Critical_Delay,Food_Beverage,EUR,2024-01-08,2024-01-28,497.7,5830.6,2679.8,3.41,9816.11,779.65,18,4,19.0,0.2804,0.0494,0.183,,1,True
SHP-100340681,UPS,Mundra,Piraeus,sea,On_Schedule,Electronics,SGD,2022-10-31,2022-11-13,312.4,21801.8,8092.5,17.66,32648.39,2468.69,14,0,0.0,0.1319,0.0639,0.4489,0.8,1,True
SHP-100254478,DHL,Antwerp,Sydney,rail,In_Transit,Textiles,USD,2022-10-21,2022-10-27,153.5,5694.2,1854.7,2.39,1614985.26,93705.24,19,5,0.0,0.1699,0.1777,0.162,,2,False
SHP-101405763,ZIM,Singapore,Houston,sea,Delivered,Machinery,GBP,2023-02-11,2023-03-06,558.6,20113.5,9678.7,13.7,18844.85,182.81,5,4,62.3,0.2538,0.2218,0.3309,,3,True
SHP-101575096,CMA_CGM,Mundra,Barcelona,air,On_Schedule,Raw_Materials,EUR,2022-08-26,2022-08-28,66.6,14358.2,8694.2,30.2,2383.55,139.11,9,5,0.0,0.2128,0.5193,0.3169,,4,False
SHP-100772460,Maersk,Busan,Piraeus,sea,At_Port,Pharmaceuticals,CNY,2023-03-22,2023-04-04,320.6,8748.8,314.4,0.44,144842.15,3076.54,22,3,0.0,0.4503,0.0822,0.3547,14.2,1,True
SHP-103688198,FedEx,Mundra,Baltimore,rail,Delayed,Electronics,AED,2023-05-03,2023-05-12,229.4,1577.1,18078.3,76.8,48005.33,797.67,8,0,10.0,0.1239,0.3342,0.5853,26.1,2,True
SHP-103656463,ONE,Colombo,Hamburg,sea,At_Port,Textiles,EUR,2022-06-11,2022-07-01,498.0,21117.8,1503.5,2.84,100356.16,2082.0,7,1,0.0,0.1738,0.1635,0.3003,28.1,4,True
SHP-102966795,FedEx,Rotterdam,Hamburg,rail,Delayed,Machinery,EUR,2022-02-14,2022-02-23,236.5,867.6,1010.9,3.3,666.63,30.02,8,3,8.9,0.5164,0.331,0.4444,-9.7,3,True
SHP-104001008,Yang_Ming,Melbourne,Singapore,sea,Critical_Delay,Automotive,GBP,2023-01-03,2023-01-28,604.2,5913.0,65176.5,273.85,22519.71,1164.68,20,0,163.6,0.0546,0.1164,0.3352,,2,True
SHP-102177948,ZIM,Busan,Baltimore,sea,Delayed,Electronics,AED,2022-01-06,2022-01-17,277.2,4372.2,2812.0,11.19,3191.86,63.53,3,1,1.4,0.5317,0.0737,0.1189,24.3,4,True
SHP-103180448,UPS,Shanghai,Bremen,rail,Customs_Hold,Pharmaceuticals,SGD,2022-04-10,2022-04-17,178.6,6645.7,54818.0,68.98,82186.55,3135.02,19,5,0.0,0.3185,0.146,0.4623,,1,True
SHP-102337141,COSCO,Port_Klang,Valencia,sea,On_Schedule,Perishables,AED,2023-03-21,2023-04-03,327.7,20821.2,791.0,1.72,371357.39,21817.9,2,1,0.0,0.2186,0.1157,0.5994,,3,False
SHP-103306854,Maersk,Port_Klang,Barcelona,rail,In_Transit,Pharmaceuticals,GBP,2023-12-02,2023-12-11,226.0,3500.9,622.4,1.22,47647.93,3173.11,17,4,0.0,0.3253,0.5558,0.576,,4,True
SHP-103773200,MSC,Mumbai,Sydney,air,On_Schedule,Machinery,EUR,2023-11-04,2023-11-04,15.9,830.9,6373.4,16.14,1035330.84,30310.72,5,4,0.0,0.2316,0.1223,0.1648,2.0,4,True
SHP-104650986,DB_Schenker,Busan,Valencia,air,On_Schedule,Textiles,AED,2023-11-16,2023-11-16,22.4,11785.0,8075.5,13.19,134906.71,3715.72,8,3,0.0,0.5207,0.1288,0.4299,,3,True
SHP-100067895,Maersk,Tokyo,Bremen,sea,Delivered,Perishables,CNY,2024-09-22,2024-10-11,456.8,12910.5,2939.8,6.87,43306.69,2797.15,4,5,0.2,0.136,0.2261,0.5737,24.9,3,True
SHP-104851205,Kuehne_Nagel,Colombo,Bremen,sea,At_Port,Raw_Materials,AED,2022-07-13,2022-07-19,144.8,12864.7,2150.2,4.54,244936.68,6397.1,19,3,0.0,0.2721,0.0599,0.6087,,1,False
SHP-104207271,ZIM,Ningbo,Dubai,sea,On_Schedule,Electronics,GBP,2022-03-22,2022-04-06,373.3,19359.7,735.7,1.5,3030.5,118.3,9,0,0.0,0.5184,0.0534,0.232,4.1,2,True
SHP-100242237,CMA_CGM,Port_Klang,Bremen,sea,Delayed,Textiles,USD,2024-09-21,2024-10-04,331.4,21582.5,6017.4,9.43,9050.12,192.16,13,5,6.4,0.2769,0.5353,0.3939,,2,False
SHP-103185766,ZIM,Ningbo,Mumbai,sea,At_Port,Automotive,EUR,2022-11-21,2022-11-28,174.8,15097.5,5607.2,12.45,791466.45,4263.17,12,4,0.0,0.2638,0.0778,0.2027,,3,True
SHP-104611394,Evergreen,Colombo,Singapore,sea,At_Port,Consumer_Goods,GBP,2023-05-25,2023-06-17,552.5,6798.5,1545.6,4.35,50310.68,521.17,16,0,0.0,0.1272,0.4757,0.1256,,3,True
SHP-100406217,Evergreen,Sydney,Le_Havre,sea,At_Port,Machinery,USD,2024-02-07,2024-02-17,245.8,4935.2,3211.8,15.6,41330.41,1550.91,9,4,0.0,0.2735,0.1341,0.2457,,4,True
SHP-100581488,COSCO,Ningbo,Felixstowe,sea,Delayed,Automotive,GBP,2024-07-28,2024-08-09,291.4,2489.2,664.6,1.38,24124.25,1097.93,18,0,0.7,0.1653,0.2516,0.1654,19.2,2,True
SHP-101687281,UPS,Hamburg,New_York,sea,At_Port,Pharmaceuticals,USD,2024-01-22,2024-02-01,243.1,2382.2,35456.0,50.66,55814.53,2183.76,17,0,0.0,0.3561,0.0437,0.2355,,1,True
SHP-103443264,Evergreen,Colombo,Bremen,sea,On_Schedule,Consumer_Goods,AED,2022-10-14,2022-10-26,311.1,16101.7,522.0,1.56,12621.98,234.97,18,1,0.0,0.0914,0.1197,0.7282,,2,True
SHP-100527274,ZIM,Tokyo,Houston,sea,Customs_Hold,Automotive,EUR,2023-11-13,2023-11-18,130.9,7980.7,1903.6,3.03,55952.13,3139.17,11,5,0.0,0.1856,0.1955,0.2113,,2,False
SHP-100872462,Evergreen,Antwerp,Felixstowe,sea,In_Transit,Chemicals,AED,2023-10-11,2023-11-01,510.4,13449.5,797.8,1.87,390471.5,14819.6,7,0,0.0,0.2918,0.5321,0.2159,,2,True
SHP-100769819,Evergreen,Colombo,New_York,sea,On_Schedule,Consumer_Goods,AED,2023-08-06,2023-08-21,362.4,13757.1,1930.8,5.8,32009.68,1555.54,9,1,0.0,0.3907,0.1779,0.2935,14.0,4,True
SHP-100470861,FedEx,Melbourne,Le_Havre,rail,On_Schedule,Perishables,EUR,2024-02-18,2024-02-22,96.5,1093.8,9175.2,17.29,6711.95,132.18,11,4,0.0,0.4605,0.2492,0.4311,,2,True
SHP-103831610,Maersk,Jebel_Ali,Baltimore,air,At_Port,Raw_Materials,CNY,2022-09-05,2022-09-06,29.7,1796.9,1101.4,1.87,711262.47,14515.82,3,1,0.0,0.3863,0.1911,0.2641,,4,True
SHP-101814319,HMM,Dubai,Mumbai,rail,Delivered,Textiles,USD,2022-11-01,2022-11-05,97.2,611.7,6439.5,11.71,127107.93,6502.48,3,3,0.1,0.1058,0.3283,0.0236,,4,False
SHP-101331632,ONE,Jebel_Ali,Barcelona,sea,In_Transit,Raw_Materials,USD,2024-07-02,2024-07-14,304.2,14121.2,335.0,0.9,3869.85,154.22,23,3,0.0,0.1638,0.2291,0.5209,,2,True
SHP-101456413,UPS,Felixstowe,Savannah,sea,Customs_Hold,Automotive,USD,2024-06-08,2024-06-25,428.5,18091.8,6014.2,14.95,39067.47,695.93,13,2,0.0,0.5264,0.1823,0.2543,-17.3,2,False
SHP-102146309,Evergreen,Shanghai,Hamburg,sea,In_Transit,Food_Beverage,CNY,2022-03-17,2022-04-08,548.4,20284.9,101.7,0.37,58149.37,2684.49,3,5,0.0,0.0632,0.1093,0.3094,-16.5,3,True
SHP-103319486,ZIM,Antwerp,Genoa,sea,Critical_Delay,Perishables,CNY,2022-03-05,2022-03-11,150.9,21181.7,26407.8,126.86,25164.48,639.65,5,5,52.9,0.4199,0.3891,0.2876,,2,True
SHP-103411211,ONE,Sydney,Mumbai,rail,On_Schedule,Perishables,USD,2022-11-23,2022-11-25,68.0,929.2,251.3,1.06,12990.94,651.01,2,2,0.0,0.3868,0.0957,0.3099,,4,False
SHP-101726068,Evergreen,Hamburg,Sydney,air,Delayed,Automotive,SGD,2022-09-27,2022-09-29,57.4,7432.9,3366.3,10.56,164757.15,6889.96,17,5,7.9,0.4541,0.1368,0.1464,,1,False
SHP-103014919,Kuehne_Nagel,Dubai,Antwerp,sea,On_Schedule,Automotive,USD,2022-08-29,2022-09-04,144.9,13988.8,371.0,0.55,1935062.73,64300.12,19,3,0.0,0.3546,0.0576,0.5742,,1,True
SHP-101203657,Hapag-Lloyd,Sydney,Miami,rail,At_Port,Consumer_Goods,SGD,2024-12-28,2024-12-30,55.7,4166.8,19899.6,50.32,32510.87,573.46,10,3,0.0,0.5352,0.045,0.4979,14.2,4,True
SHP-104574777,COSCO,Dubai,New_York,sea,In_Transit,Chemicals,SGD,2023-09-21,2023-10-04,330.6,19977.8,42.7,0.07,126078.16,4316.63,23,0,0.0,0.1102,0.1313,0.5699,,1,False
SHP-100531688,MSC,Mumbai,Savannah,sea,Customs_Hold,Consumer_Goods,GBP,2022-01-21,2022-02-18,684.1,12268.8,289.2,0.67,27398.66,1918.56,1,3,0.0,0.2344,0.078,0.2296,,2,True
SHP-104848254,DHL,Shanghai,Le_Havre,air,On_Schedule,Pharmaceuticals,CNY,2023-05-11,2023-05-13,59.9,1460.5,354.9,0.7,1256.72,61.06,2,0,0.0,0.467,0.3362,0.6,,4,True
SHP-100081322,Evergreen,Chennai,Rotterdam,sea,On_Schedule,Consumer_Goods,SGD,2023-04-25,2023-05-12,413.1,13810.8,1159.2,3.18,381335.9,14906.95,23,4,0.0,0.1695,0.1574,0.1101,-10.0,1,True
SHP-102777785,ZIM,Colombo,Dubai,sea,On_Schedule,Textiles,SGD,2022-05-31,2022-06-25,607.2,10037.6,14434.2,41.01,173921.47,3927.47,19,3,0.0,0.2487,0.5982,0.1094,,4,True
SHP-104674547,DB_Schenker,Hamburg,Bremen,rail,At_Port,Chemicals,USD,2022-09-14,2022-09-16,67.8,4990.6,4301.4,12.23,10658.66,795.76,17,5,0.0,0.3531,0.3467,0.5919,-3.9,4,True
SHP-101843479,ZIM,Dubai,Houston,sea,On_Schedule,Pharmaceuticals,AED,2023-01-29,2023-02-25,671.6,7235.1,4368.2,18.61,8950.59,672.47,16,5,0.0,0.2523,0.0266,0.3049,,1,True
SHP-101749914,Maersk,Melbourne,Felixstowe,air,Delayed,Automotive,GBP,2023-12-04,2023-12-04,12.1,6882.5,33621.5,48.61,13249.83,498.02,1,1,58.4,0.0899,0.0634,0.1278,,2,True
SHP-101881667,UPS,Ningbo,Baltimore,air,On_Schedule,Consumer_Goods,SGD,2024-06-18,2024-06-19,33.5,2008.3,2485.8,3.45,26584.58,1857.39,2,4,0.0,0.524,0.2535,0.2824,-7.2,3,True
SHP-102117606,Hapag-Lloyd,Singapore,Le_Havre,rail,In_Transit,Consumer_Goods,CNY,2024-11-10,2024-11-16,165.7,7085.6,34884.1,148.72,191337.61,6471.54,4,4,0.0,0.5767,0.0117,0.3095,-11.6,3,False
SHP-104047031,DB_Schenker,Hamburg,Los_Angeles,sea,In_Transit,Perishables,GBP,2022-10-11,2022-10-15,112.7,18720.7,200872.8,558.16,27782.26,1764.57,24,2,0.0,0.5701,0.3487,0.716,,1,True
SHP-104747417,UPS,Port_Klang,Dubai,rail,Critical_Delay,Chemicals,EUR,2024-07-05,2024-07-12,188.1,5448.9,9617.2,47.78,29881.21,318.29,23,5,24.3,0.3016,0.3192,0.4069,,1,False
SHP-104842897,FedEx,Busan,New_York,sea,On_Schedule,Raw_Materials,AED,2023-05-25,2023-06-16,545.9,9461.1,4284.6,6.84,4312.49,229.69,12,5,0.0,0.164,0.1448,0.2632,-1.6,3,False
SHP-101950266,ONE,Rotterdam,New_York,sea,Delivered,Pharmaceuticals,CNY,2024-12-12,2024-12-18,148.8,19015.7,17772.4,81.49,1945357.94,141080.82,16,0,113.5,0.5281,0.0656,0.4193,,3,True
SHP-101897855,Maersk,Guangzhou,Valencia,sea,On_Schedule,Electronics,USD,2024-05-11,2024-05-20,235.9,10629.2,4681.0,7.46,64335.65,3382.58,5,4,0.0,0.2245,0.3839,0.3466,,2,False
SHP-101758414,Maersk,Busan,Antwerp,rail,At_Port,Automotive,AED,2024-01-20,2024-01-26,148.5,6620.6,57319.3,78.42,967.68,55.9,1,5,0.0,0.2491,0.0772,0.095,,3,True
SHP-100562795,CMA_CGM,Colombo,Hamburg,sea,In_Transit,Electronics,EUR,2023-04-21,2023-05-16,608.0,13909.1,192.7,0.51,7980.77,49.42,18,5,0.0,0.4247,0.1551,0.0689,,2,False
SHP-104770853,Yang_Ming,Guangzhou,Piraeus,sea,In_Transit,Electronics,EUR,2023-10-23,2023-11-11,467.1,14350.1,814.9,1.07,143257.76,8867.81,3,2,0.0,0.2594,0.5248,0.6076,,4,True
SHP-101869381,CMA_CGM,Rotterdam,Los_Angeles,road,Delivered,Food_Beverage,CNY,2022-12-12,2022-12-18,159.3,1166.3,8136.7,16.71,96869.12,806.78,3,2,1.4,0.2859,0.2519,0.4921,15.7,1,False
SHP-103794939,Kuehne_Nagel,Felixstowe,Bremen,sea,On_Schedule,Raw_Materials,AED,2024-07-26,2024-08-04,236.4,20165.9,213.8,0.33,3678248.11,54230.81,23,5,0.0,0.4953,0.2013,0.5604,,2,True
SHP-100667906,Hapag-Lloyd,Tokyo,Mumbai,sea,In_Transit,Perishables,CNY,2024-01-30,2024-02-14,378.2,11869.7,4122.0,12.09,8527.28,390.41,24,5,0.0,0.2723,0.153,0.2068,,3,True
SHP-101333013,ZIM,Colombo,Baltimore,rail,In_Transit,Perishables,CNY,2024-01-18,2024-01-25,175.9,2561.5,100.0,0.42,192043.17,2674.13,12,4,0.0,0.198,0.185,0.116,19.5,3,True
SHP-103243584,Yang_Ming,Tokyo,Sydney,air,Critical_Delay,Electronics,EUR,2022-02-04,2022-02-05,27.5,9270.0,163534.3,244.07,321861.82,2112.01,10,4,32.4,0.461,0.2567,0.0495,,1,False
SHP-100514594,Maersk,Tanjung_Pelepas,Le_Havre,sea,Delayed,Raw_Materials,GBP,2022-03-09,2022-03-23,348.4,11010.8,10717.1,14.15,98496.19,6869.21,12,2,2.3,0.2239,0.0846,0.183,,2,False
SHP-104474865,COSCO,Tokyo,Antwerp,sea,Delivered,Food_Beverage,SGD,2024-07-17,2024-08-06,493.5,14094.0,2275.8,2.89,313626.16,16202.84,10,4,17.6,0.1158,0.3352,0.2057,,2,False
